update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
69,141312,363.75224057629976,381,0.5625,0.49607837082461076,0.0,1.0,441.0,343.0450043361658,56.0,1187.0,1.893618568778038,0.20675472915172577,-0.01722775207599625,0.011159757850691676,0.05952623784525787,1.0,0.0,1.0,1.0
70,143360,358.06198504490004,387,0.625,0.4841229182759271,0.0,1.0,471.75,308.5768745385824,194.0,1187.0,1.8976482897996902,0.21350390650331974,-0.017445731326006353,0.01087376510258764,0.06498329396018301,1.0,0.0,1.0,1.0
71,145408,366.33149107135887,393,0.75,0.4330127018922193,0.0,1.0,397.5625,275.964211617648,83.0,957.0,1.900889828801155,0.23181876726448536,-0.02203802193980664,0.009025925653986633,0.07033313288567797,1.0,0.0,1.0,1.0
72,147456,373.0909549251009,398,0.6875,0.46351240544347894,0.0,1.0,411.25,314.1284570044554,83.0,1107.0,1.910242110490799,0.21997134760022163,0.0223132842220366,0.00525575561914593,0.03596185653236961,1.0,0.0,1.0,1.0
73,149504,369.41528606507626,404,0.75,0.4330127018922193,0.0,1.0,497.25,317.51643658242324,103.0,1107.0,1.913699522614479,0.23485285602509975,0.00916350563056767,0.006619677384151146,0.04439387463234645,1.0,0.0,1.0,1.0
74,151552,366.53682709737365,409,0.75,0.4330127018922193,0.0,1.0,493.125,346.84522394722404,124.0,1170.0,1.8935854136943817,0.2824680991470814,-0.017205746145918965,0.0121306914370507,0.06037859515279886,1.0,0.0,1.0,1.0
75,153600,368.0112973045388,415,0.75,0.4330127018922193,0.0,1.0,386.6875,328.7085941130076,62.0,1170.0,1.8989899009466171,0.2736203111708164,0.0038245755422394723,0.012596676242537796,0.05781972598161618,1.0,0.0,1.0,1.0
76,155648,369.1366173420758,421,0.75,0.4330127018922193,0.0,1.0,259.25,205.06447156930915,62.0,822.0,1.8905823230743408,0.30742939561605453,-0.005144694994669408,0.010497876559384167,0.05656220980723621,1.0,0.0,1.0,1.0
77,157696,367.9896986090012,426,0.625,0.4841229182759271,0.0,1.0,291.0,235.14782584578577,27.0,822.0,1.9006664603948593,0.2716665416955948,0.028632770525291562,0.005208823247812688,0.059719552608980736,1.0,0.0,1.0,1.0
78,159744,367.8190477507694,432,0.5625,0.49607837082461076,0.0,1.0,322.125,247.71729728664488,27.0,822.0,1.9096113294363022,0.27670859172940254,0.019600637460825965,0.005871917121112347,0.04824479386546388,1.0,0.0,1.0,1.0
